"product","div","category","brand","cpg","bfpp","ppa","spf","spfv"
"67165169","F","BO","KO","F00037","2B6","51W","15II","15II"
"67165173","F","BO","KO","F00037","2B6","51W","15II","15II"
"67169960","F","SE","AS","F00054","1ZH","516","14JI","14JI"
"67284008","F","BO","KO","F00037","2B8","51X","1DK2","1NLD"
"67313583","F","SA","HL","F00663","17S","507","14WC","14WC"
"67313588","F","SA","HL","F00663","17S","507","14WC","14WC"
"67313590","F","SA","HL","F00663","17S","507","14WC","14WC"
"79804","F","MA","HL","F00478","2AR","50Z","14W7","14W7"
"79814","F","MA","HL","F02758","17L","50W","14VS","14VS"
"79815","F","MA","HL","F02758","17L","6N8","14VQ","14VQ"
"79818","F","MA","HL","F00478","2AT","500","14W1","14W1"
"8126","F","MU","AS","F00541","1PI","504","14U6","14U6"
"84138481","F","MA","HL","F00478","2W1","6BK","19WW","19WW"
"84138643","F","ME","AS","F00203","2G2","48M","1631","1631"
"84138644","F","ME","AS","F00203","2G2","48M","1631","1631"
"84150192","F","SE","AS","F00054","1ZH","516","14JI","14JI"
"84154078","F","BO","KO","F00037","2B6","51W","15II","15II"
"84154118","F","BO","KO","F00037","2B8","51X","14WM","14WM"
"84154129","F","BO","KO","F00037","2B3","51V","14WJ","14WJ"
"84156028","F","BO","KO","F00037","2U7","5HA","19H8","19H8"
"84156895","F","SE","KO","F00065","22S","517","14JO","14JO"
"84157964","F","SS","KO","F00285","1TX","513","15O7","15O7"
"84157992","F","SS","KO","F00285","1TS","512","19L6","19L6"
"84158025","F","SS","KO","F00285","1TX","513","15OC","15OC"
"84161077","F","BO","KO","F00037","33A","6GE","1AWP","1AWP"
"84169136","F","KE","HL","F00519","17K","ADW","15VE","15VE"
"84169137","F","KE","HL","F00519","17K","ADW","15VE","1J1E"
"84172458","F","MA","AS","F00455","2AK","50U","14IB","14IB"
"84172459","F","MA","AS","F00455","2AL","4KL","14I6","14I6"
"84172462","F","MA","HL","F00478","2W1","6BK","19WW","19WW"
"84172463","F","MA","HL","F00478","2AQ","50F","15HT","15HT"
"84172472","F","MA","HL","F02758","17L","50W","14VS","14VS"
"84172473","F","MA","HL","F00478","2AR","50Z","14W7","14W7"
"84172474","F","MA","HL","F00478","2AR","50Z","14W7","14W7"
"84172485","F","MA","HL","F02758","17L","6N8","14VQ","14VQ"
"84172489","F","MA","HL","F00478","2AT","500","14W1","14W1"
"84172492","F","MA","HL","F00478","2A8","52P","15I8","15I8"
"927480","F","ME","KO","F04157","2G3","518","1633","1633"
"927482","F","ME","KO","F04157","2G3","518","1633","1633"
"942635","F","BO","AS","F00029","1ZB","51S","14RW","14RW"
"942637","F","BO","AS","F00029","1ZB","51S","14RW","14RW"
"942655","F","BO","AS","F00029","2AZ","51U","14S0","14S0"
"942718","F","BO","AS","F00029","2AZ","51U","14S0","14S0"
"947272","F","ME","KO","F04157","2G3","518","1633","1633"
"545798","F","BO","AS","F00029","2AX","51T","15IK","15IK"
"67164333","F","SE","AS","F00054","1ZG","515","14J4","14J4"
"84157868","F","SS","KO","F00285","230","514","15I1","15I1"
"84157965","F","SS","KO","F00285","230","514","15HX","15HX"
"84158001","F","SS","KO","F00285","230","514","15HZ","15HZ"
"84158002","F","SS","KO","F00285","230","514","15HY","15HY"
"84158023","F","SS","KO","F00285","230","514","15I1","15I1"
"84172460","F","MA","AS","F00455","2AH","50T","14I4","14I4"
"84172488","F","MA","HL","F00478","2AT","500","14W1","14W1"
"67289529","F","SE","KO","F00065","3D0","6WS","1BUX","1HKH"
"226534","F","KE","HL","F00519","17K","505","14VF","14VF"
"84138439","F","SS","AS","F00277","1ZO","48R","15UC","15UC"
"84161365","F","MA","HL","F00478","2A8","6G4","15I8","15I8"
"67295694","F","SI","KO","F00243","3DH","787","1BWG","1HO7"
"84162130","F","MA","HL","F00478","2HW","6T5","1BY9","1I36"
"84164117","F","MA","HL","F00478","2AQ","6O7","1BIF","1GKA"
"84170604","F","MA","HL","F00478","36K","6P0","1B9X","1F2N"
"550661","F","MA","HL","F00478","2AT","52N","15O4","15O4"
"550720","F","MA","HL","F00478","2AT","50G","14W1","14W1"
"76167","F","MA","AS","F02741","2AN","50S","14IR","14IR"
"84160374","F","MA","HL","F02758","1S1","50V","17HC","17HC"
"84172914","F","MA","HL","F00478","383","6PO","1BDS","1FI4"
"961088","F","SI","KO","F00349","1TG","52S","14WS","14WS"
"67169959","F","SE","AS","F00054","1ZH","516","14JI","14JI"
"67169961","F","SE","AS","F00054","1ZH","516","14JI","14JI"
"67174009","F","SE","AS","F00054","1ZG","82I","14J3","14J3"
"67211746","F","MA","HL","F00478","36K","6P0","1B9X","1F2N"
"67212689","F","MA","HL","F00478","2AR","50Z","14W7","14W7"
"67284206","F","BO","KO","F00037","2B6","51W","1DK1","1NLC"
"67289535","F","SE","KO","F00065","3D0","6WS","1BUW","1HKG"
"84138440","F","SS","AS","F00277","1ZO","48R","15UD","15UD"
"84157977","F","SS","KO","F00285","1TX","513","15OC","15OC"
"84157978","F","SS","KO","F00285","1TX","513","15OC","15OC"
"84158011","F","SS","KO","F00285","1TS","512","13IL","13IL"
"84158047","F","SS","KO","F00285","230","514","15HZ","15HZ"
"84161078","F","BO","KO","F00037","33A","6GE","1AWP","1AWP"
"84169134","F","KE","HL","F00519","17K","ADY","15HU","15HU"
"84172464","F","MA","HL","F00478","2AQ","6O7","1BIF","1GKA"
"204981","F","CS","MZ","F01205","20U","51O","14RL","14RL"
"67334898","F","SE","KO","F00065","3D0","6WS","1BUV","1HK8"
"67334899","F","SE","KO","F00065","3D0","6WS","1BUX","1HKH"
"67334900","F","SE","KO","F00065","3D0","6WS","1BUQ","1HK3"
"26978","F","OD","AS","F01560","21L","51Q","14TE","14TE"
"26980","F","OD","AS","F01560","21L","51Q","14TE","14TE"
"556186","F","CS","MZ","F01205","20U","51O","14RL","14RL"
"67268840","F","SI","KO","F00349","3DG","77N","1BWE","1HO5"
"67270672","F","SI","KO","F00349","3DG","77N","1BWD","1HO4"
"67284225","F","BO","KO","F00037","2B6","51W","1DK0","1NLB"
"67216240","F","SS","KO","F00285","1TS","512","19L6","19L6"
"67334901","F","SE","KO","F00065","3D0","6WS","1BUW","1HKG"
"67159953","F","BO","KO","F00037","33A","6GE","1AWP","1AWP"
"84158021","F","SS","KO","F00285","1TS","512","14X2","14X2"
"206932","F","SS","KO","F00311","22Y","511","14K7","14K7"
"51518","F","SS","KO","F00285","1TS","53K","14X5","14X5"
"67165170","F","BO","KO","F00037","2B6","51W","15II","15II"
"67268839","F","SI","KO","F00349","3DG","77N","1BWC","1HO3"
"949592","F","MU","HL","F00552","17O","506","14VV","14VV"
"84141356","F","MA","HL","F00478","2AR","4E1","14W7","14W7"
"84144592","F","MA","HL","F00478","2A8","5D0","15I8","15I8"
"84150194","F","SE","AS","F00054","1ZH","516","14JI","14JI"
"84150196","F","SE","AS","F00054","1ZH","516","14JI","14JI"
"67289528","F","SE","KO","F00065","3D0","6WS","1BUV","1HK8"
"67289530","F","SE","KO","F00065","3D0","6WS","1BUQ","1HK3"
"84167298","F","MA","HL","F00478","2AR","50Z","1DK5","1NLG"
"11956","F","SE","AS","F00054","1ZG","515","14J4","14J4"
"84156916","F","SE","AS","F00054","1ZG","515","14J4","14J4"
"166757","F","MA","HL","F00478","2AO","501","14VY","14VY"
"933665","F","SA","HL","F00663","17S","54T","14WE","14WE"
"84142696","F","SE","KO","F00065","1TN","517","13I0","13I0"
"84156030","F","BO","KO","F00037","2U7","5HA","19H8","19H8"
"67258383","F","CS","MZ","F01205","1UB","6S5","1DK8","1NLJ"
"970316","F","SA","HL","F00663","17S","54T","14WE","14WE"
"933656","F","SA","HL","F00663","17S","54T","14WE","14WE"
"933655","F","SA","HL","F00663","17S","54T","14WE","14WE"
"933657","F","SA","HL","F00663","17S","54T","14WE","14WE"
"958793","F","SA","HL","F00663","17S","54T","14WE","14WE"
"84154072","F","BO","KO","F00037","2B6","51W","15II","15II"
"84156902","F","BO","KO","F00037","2B8","51X","1DK3","1NLE"
"22614","F","KE","AS","F00506","1ZD","54V","14TF","14TF"
"29387","F","SI","KO","F00349","3D6","53E","1BVN","1HM2"
"51520","F","OS","KO","F00349","1TF","92D","14JW","14JW"
"557011","F","OD","OE","F03064","2CR","53Y","15NN","15NN"
"557037","F","OD","OE","F03064","2CR","53Y","15NN","15NN"
"84156029","F","BO","KO","F00037","2U7","5HA","19H8","19H8"
"927623","F","SI","KO","F00349","1TG","2EV","15P8","15P8"
"545897","F","OS","KO","F00243","232","53I","15BR","15BR"
"15336","F","CS","MZ","F01205","1UB","545","14XG","14XG"
"84150195","F","SE","AS","F00054","1ZH","516","14JI","14JI"
"67254400","F","MA","HL","F00478","2AR","50Z","14W7","14W7"
"161759","F","BE","BC","F00812","122","Not Applicable","14UC","14UC"
"162075","F","BE","BC","F00812","122","Not Applicable","14UB","14UB"
"162080","F","BE","BC","F00812","122","Not Applicable","14UB","14UB"
"162104","F","BE","BC","F00813","1ZQ","Not Applicable","14PA","14PA"
"162148","F","BE","BC","F00812","122","Not Applicable","14UC","14UC"
"188608","F","BE","BC","F00812","122","Not Applicable","14UC","14UC"
"188616","F","BE","BC","F00812","122","Not Applicable","14UB","14UB"
"84163343","F","BE","BC","F00812","122","Not Applicable","14UC","14UC"
"209096","F","SE","KO","F00065","22S","517","14JO","14JO"
"34480518","F","OT","MA","F05997","3IJ","7WM","1CFQ","1JZ9"
"34480519","F","OT","MA","F05997","3IQ","7U0","1CG4","1K05"
"34480520","F","OT","MA","F05997","3IE","7SI","1CFF","1JYJ"
"34480521","F","OT","MA","F05997","3IK","7T8","1CFR","1JZB"
"34480522","F","OT","MA","F05997","3IX","7TS","1CGD","1K0X"
"34480525","F","OT","MA","F05997","3IZ","7TK","1CGI","1K1A"
"34480528","F","OT","MA","F05997","3IE","7SM","1CFF","1JYK"
"34480535","F","OT","MA","F05997","3IJ","7WM","1CFQ","1JZ6"
"34480536","F","OT","MA","F05997","3IJ","7WM","1CFQ","1JZA"
"34480537","F","OT","MA","F05997","3J1","7TW","1CGL","1K1I"
"34480538","F","OT","MA","F05997","3IH","7UW","1CFJ","1JYU"
"34480539","F","OT","MA","F05997","3IH","7UW","1CFJ","1JYV"
"34480540","F","OT","MA","F05997","3IH","7UY","1CFK","1JYX"
"34480541","F","OT","MA","F05997","3IH","7UY","1CFK","1JYW"
"34480542","F","OT","MA","F05997","3IQ","7U0","1CG6","1K0D"
"34480543","F","OT","MA","F05997","3IQ","7TY","1CG4","1K04"
"34480544","F","OT","MA","F05997","3IQ","7U0","1CG4","1K06"
"34480545","F","OT","MA","F05997","3IQ","7U2","1CG5","1K0C"
"34480546","F","OT","MA","F05997","3IQ","7U4","1CG5","1K0A"
"34480547","F","OT","MA","F05997","3IQ","7U2","1CG5","1K09"
"34480548","F","OT","MA","F05997","3IQ","7U2","1CG5","1K08"
"34480549","F","OT","MA","F05997","3IQ","7U4","1CG5","1K0B"
"34480550","F","OT","MA","F05997","3IT","7U6","1CG9","1K0I"
"34480551","F","OT","MA","F05997","3IJ","7WM","1CFQ","1JZ8"
"34480552","F","OT","MA","F05997","3IT","7U6","1CG9","1K0J"
"34480553","F","OT","MA","F05997","3IP","7V2","1CG3","1K03"
"34480554","F","OT","MA","F05997","3IP","7V2","1CG3","1K02"
"34480555","F","OT","MA","F05997","3IL","7UE","1CFT","1JZJ"
"67777954","F","OT","MA","F05997","422","920","1E7H","1P23"
"34480557","F","OT","MA","F05997","3R1","7SA","1D4X","1MEF"
"34480558","F","OT","MA","F05997","3IY","7SA","1CGF","1K11"
"34480559","F","OT","MA","F05997","3IY","7SA","1CGF","1K12"
"34480560","F","OT","MA","F05997","3IY","7SA","1CGF","1K0Z"
"34480561","F","OT","MA","F05997","3IL","7UA","1CFS","1JZI"
"34480562","F","OT","MA","F05997","3IJ","7WM","1CFQ","1JZ7"
"34480563","F","OT","MA","F05997","3IL","7UA","1CFS","1JZE"
"34480564","F","OT","MA","F05997","3IL","7UA","1CFS","1JZD"
"34480565","F","OT","MA","F05997","3IL","7UA","1CFS","1JZH"
"34480566","F","OT","MA","F05997","3IL","7UA","1CFS","1JZC"
"34480567","F","OT","MA","F05997","3IL","7UA","1CFS","1JZF"
"34480568","F","OT","MA","F05997","3IM","7UC","1CFW","1JZG"
"34480569","F","OT","MA","F05997","3IL","7UE","1CFV","1JZL"
"34480570","F","OT","MA","F05997","3IL","7UE","1CFV","1JZN"
"34480571","F","OT","MA","F05997","3IL","7XQ","1CFV","1JZO"
"34480572","F","OT","MA","F05997","3IL","7UE","1CFV","1JZM"
"34480573","F","OT","MA","F05997","3R1","7WO","1E7K","1P2B"
"34480574","F","OT","MA","F05997","3IM","7WI","1CFW","1JZQ"
"34480575","F","OT","MA","F05997","3IM","7UC","1CFW","1JZR"
"34480576","F","OT","MA","F05997","3IM","7UC","1CFW","1JZP"
"34480577","F","OT","MA","F05997","3IV","7S8","1CGB","1K0T"
"34480578","F","OT","MA","F05997","3IQ","7S6","1CG4","1K05"
"34480579","F","OT","MA","F05997","3IV","7XU","1CGB","1K0P"
"34480580","F","OT","MA","F05997","3IV","7XU","1CGB","1K0N"
"34480581","F","OT","MA","F05997","3IV","7XS","1CGB","1K0O"
"34480582","F","OT","MA","F05997","3IV","7XS","1CGB","1K0Q"
"34480583","F","OT","MA","F05997","3IV","7S8","1CGB","1K0U"
"34480584","F","OT","MA","F05997","3IJ","7WO","1CFP","1JZ4"
"34480585","F","OT","MA","F05997","3IV","7S6","1CGB","1K0U"
"34480586","F","OT","MA","F05997","3IV","7XU","1CGB","1K0R"
"34480587","F","OT","MA","F05997","3IV","7XS","1CGB","1K0R"
"34480588","F","OT","MA","F05997","3IG","7S2","1CFI","1JYT"
"34480590","F","OT","MA","F05997","3IG","7S2","1CFI","1JYS"
"34480591","F","OT","MA","F05997","3IG","7S4","1CFI","1JYS"
"34480592","F","OT","MA","F05997","3IG","7S2","1CFI","1JYR"
"34480593","F","OT","MA","F05997","3IG","7S4","1CFI","1JYR"
"34480594","F","OT","MA","F05997","3IG","7S2","1CFI","1JYQ"
"34480595","F","OT","MA","F05997","3II","7WK","1CFN","1JZ0"
"34480596","F","OT","MA","F05997","3IU","7US","1CGA","1K0L"
"34480597","F","OT","MA","F05997","3IU","7US","1CGA","1K0K"
"34480598","F","OT","MA","F05997","3IU","7US","1CGA","1K0M"
"34480599","F","OT","MA","F05997","3J1","7XM","1CGL","1K1J"
"34480600","F","OT","MA","F05997","3J1","7XO","1CGL","1K1H"
"34480601","F","OT","MA","F05997","3IZ","7UG","1CGH","1K15"
"34480602","F","OT","MA","F05997","3IZ","7TM","1CGH","1K18"
"34480603","F","OT","MA","F05997","3IZ","7UK","1CGH","1K16"
"34480604","F","OT","MA","F05997","3IZ","7TA","1CFX","1JZS"
"34480605","F","OT","MA","F05997","3IH","7UM","1CFL","1JYY"
"34480606","F","OT","MA","F05997","3II","7WK","1CFN","1JZ1"
"34480607","F","OT","MA","F05997","3IZ","7TI","1CGH","1K17"
"34480608","F","OT","MA","F05997","3IZ","7XI","1CGH","1K14"
"34480609","F","OT","MA","F05997","3IW","7TQ","1CGC","1K0W"
"34480610","F","OT","MA","F05997","3J0","7V0","1CGK","1K1E"
"34480611","F","OT","MA","F05997","3J0","7V0","1CGK","1K1F"
"34480612","F","OT","MA","F05997","3J0","7V0","1CGK","1K1D"
"34480613","F","OT","MA","F05997","3J0","7V0","1CGK","1K1C"
"34480614","F","OT","MA","F05997","3IF","7SW","1CFH","1JYP"
"34480615","F","OT","MA","F05997","3IF","7SY","1CFH","1JYP"
"34480616","F","OT","MA","F05997","3IF","7SQ","1CFG","1JYL"
"34480617","F","OT","MA","F05997","3II","7WK","1CFN","1JZ2"
"34480618","F","OT","MA","F05997","3IF","7SS","1CFH","1JYN"
"34480619","F","OT","MA","F05997","3IN","7TE","1CFZ","1JZX"
"34480620","F","OT","MA","F05997","3IZ","7UO","1CGI","1K19"
"34480621","F","OT","MA","F05997","3IS","7UU","1CG8","1K0F"
"34480622","F","OT","MA","F05997","3IS","7UU","1CG8","1K0G"
"34480623","F","OT","MA","F05997","3IS","7UU","1CG8","1K0H"
"34480624","F","OT","MA","F05997","3IN","7T6","1CFZ","1JZY"
"34480625","F","OT","MA","F05997","3IN","7T2","1CFZ","1JZW"
"34480626","F","OT","MA","F05997","3IO","7WG","1CG1","1K00"
"34480627","F","OT","MA","F05997","3IO","7UI","1CG2","1K01"
"34480628","F","OT","MA","F05997","3IQ","7TY","1CG4","1K07"
"34480629","F","OT","MA","F05997","3IR","7UQ","1CG7","1K0E"
"34480630","F","OT","MA","F05997","3IF","7SO","1CFG","1JYM"
"34480631","F","OT","MA","F05997","3IF","7SU","1CFH","1JYO"
"34480632","F","OT","MA","F05997","3IZ","7TC","1CGG","1K13"
"34480633","F","OT","MA","F05997","3IW","7TQ","1CGC","1K0V"
"34480634","F","OT","MA","F05997","3IZ","7TO","1CGJ","1K1B"
"34480635","F","OT","MA","F05997","3IH","7TU","1CFM","1JYZ"
"34480636","F","OT","MA","F05997","3IN","7T4","1CFZ","1JZU"
"34480637","F","OT","MA","F05997","3IN","7TG","1CG0","1JZZ"
"34480638","F","OT","MA","F05997","3IN","7T0","1CFZ","1JZV"
"34480731","F","OT","MA","F05997","3IJ","7WO","1CFP","1JZ5"
"34480732","F","OT","MA","F05997","3IJ","7WO","1CFP","1JZ5"
"34480733","F","OT","MA","F05997","3R1","7WO","1D4V","1MED"
"34480734","F","OT","MA","F05997","3IY","7SA","1CGF","1K10"
"34480735","F","OT","MA","F05997","3J0","7V0","1CGK","1K1G"
"34480736","F","OT","MA","F05997","3IN","7XK","1CFY","1JZT"
"34480737","F","OT","MA","F05997","3IE","7SK","1CFE","1JYI"
"51519","F","OS","KO","F00349","1TF","53D","14JX","14JX"
"547191","F","ME","KO","F04157","2G3","518","1632","1632"
"551257","F","KE","HL","F00519","17K","52O","14VJ","14VJ"
"557023","F","OD","OE","F03064","1QC","53Y","1336","1336"
"67187065","F","SA","HL","F02556","37N","6QK","1BA7","1F3A"
"67187066","F","SA","HL","F02556","37N","6QK","1BA7","1F3A"
"67304008","F","KE","HL","F00519","3MC","7Q8","1CPE","1KWT"
"67313586","F","SA","HL","F00663","17S","54T","14WE","14WE"
"67313591","F","SA","HL","F00663","17S","54T","14WE","14WE"
"67394224","F","KE","HL","F00519","3ME","7QA","1CPI","1KXJ"
"67394227","F","KE","HL","F00591","3WM","Not Applicable","1FGV","1SQJ"
"79816","F","MA","HL","F00478","2AR","50Z","14W7","14W7"
"84141984","F","SI","AS","F00232","2FM","82S","160Y","160Y"
"84142685","F","SE","KO","F00065","2FR","517","161B","161B"
"84142697","F","SE","KO","F00065","22X","517","14K2","14K2"
"84142704","F","SE","KO","F00065","2FQ","517","161A","161A"
"84154073","F","BO","KO","F00037","2B6","51W","15II","15II"
"84154074","F","BO","KO","F00037","2B6","51W","15II","15II"
"84154075","F","BO","KO","F00037","2B6","51W","15II","15II"
"84154076","F","BO","KO","F00037","2B6","51W","15II","15II"
"84154077","F","BO","KO","F00037","2B6","51W","15II","15II"
"84154120","F","BO","KO","F00037","2B8","51X","14WM","14WM"
"84156901","F","BO","KO","F00037","2B8","51X","1DK2","1NLD"
"84158003","F","SS","KO","F00285","230","514","14KA","14KA"
"84158004","F","SS","KO","F00285","230","514","14KA","14KA"
"84158022","F","SS","KO","F00285","1TS","512","13IO","13IO"
"84161076","F","BO","KO","F00037","33A","6GE","1AWP","1AWP"
"84168144","F","BO","KO","F00037","2B6","51W","1DK0","1NLB"
"84168177","F","BO","KO","F00037","2B6","51W","1DK1","1NLC"
"84169133","F","KE","HL","F00519","17K","Not Applicable","15VE","15VE"
"84171830","F","SA","HL","F02556","37N","6QK","1BA7","1F3A"
"927876","F","SE","KO","F00065","22S","ADO","15O6","15O6"
"933666","F","SA","HL","F00663","17S","54T","14WE","14WE"
"941923","F","SE","KO","F00065","22W","517","14K1","14K1"
"216876","F","SS","KO","F00285","1TS","512","14X2","14X2"
"227519","F","ME","KO","F04157","2G3","518","1633","1633"
"545801","F","BO","AS","F00029","2AX","51T","15IK","15IK"
"545807","F","BO","AS","F00029","2AX","51T","15IK","15IK"
"550722","F","MA","HL","F00478","2AT","50G","14W1","14W1"
"551211","F","BO","AS","F00029","2AZ","51U","14S0","14S0"
"568173","F","BO","KO","F03794","2LE","Not Applicable","1APX","1APX"
"67211873","F","MA","HL","F00478","3FD","6VW","1C4Z","1J2Z"
"67228378","F","SI","KO","F00243","2FL","Not Applicable","160S","160S"
"67326292","F","SI","KO","F00349","1TG","2EV","14WR","14WR"
"83241137","F","ME","KO","F04157","2G3","Not Applicable","1633","1633"
"83307547","F","ME","KO","F04157","2G3","Not Applicable","1635","1635"
"84154116","F","BO","KO","F00037","2VZ","51W","19UY","19UY"
"84156135","F","MU","HL","F00552","17O","52Q","15I3","15I3"
"84156934","F","BO","KO","F00037","18K","Not Applicable","165Q","165Q"
"84157980","F","SS","KO","F00285","1TX","513","15OC","15OC"
"84162371","F","BO","KO","F00037","18K","Not Applicable","1660","1660"
"84162372","F","BO","KO","F00037","18K","Not Applicable","165E","165E"
"84165835","F","ME","KO","F04157","2V0","518","1A4R","1A4R"
"84165836","F","ME","KO","F04157","2V0","518","1A4R","1A4R"
"84167001","F","ME","KO","F04157","2V0","518","1A4R","1A4R"
"84167002","F","ME","KO","F04157","2V0","518","1A4Q","1A4Q"
"84167003","F","ME","KO","F04157","2V0","518","1A4Q","1A4Q"
"84167006","F","ME","KO","F04157","2V0","518","1A4U","1A4U"
"84168380","F","BO","KO","F00037","3EN","6GE","1C1A","1IF6"
"84168381","F","BO","KO","F00037","3EN","6GE","1C1A","1IF6"
"67143009","F","BO","KO","F00037","18K","Not Applicable","165Q","165Q"
"67143010","F","BO","KO","F00037","18K","Not Applicable","1660","1660"
"67143011","F","BO","KO","F00037","18K","Not Applicable","165E","165E"
"84166923","F","BO","AS","F03789","1ZA","53O","15ZZ","15ZZ"
"84166924","F","BO","AS","F03789","1ZA","53O","15ZZ","15ZZ"
"84171394","F","BO","KO","F00037","18K","Not Applicable","1660","1660"
"84171396","F","BO","KO","F00037","18K","Not Applicable","165Q","165Q"
"67249701","F","OD","OE","F03064","2CR","82M","1BUF","1HJ2"
"67383343","F","KE","HL","F00519","3MD","88X","1CPF","1KWY"
"67394234","F","KE","HL","F00519","17K","Not Applicable","15VE","15VE"
"67394235","F","KE","HL","F00519","17K","Not Applicable","15VE","1LH0"
"67434621","F","KE","AS","F00506","1ZD","503","14TH","14TH"
"67434622","F","KE","AS","F00506","1ZD","503","14TH","14TH"
"67477797","F","KE","HL","F00519","17K","AE0","14VJ","14VJ"
"67477809","F","KE","HL","F00519","17K","ADW","15VE","1J1E"
"67266780","F","MA","HL","F00478","17R","92H","1AP9","1AP9"
"67318828","F","MA","AS","F00455","3MB","84M","1CPD","1KWS"
"67318830","F","MA","HL","F00478","3MA","84K","1CPC","1KWR"
"67344902","F","MA","HL","F00478","2AP","2E4","1C6F","1J7F"
"67367032","F","MA","GO","F05981","3FF","7Z2","1C51","1J31"
"67367033","F","MA","GO","F05981","3FG","7Z4","1C52","1J32"
"67380046","F","MA","HL","F00478","2AT","500","1DK7","1NLI"
"67380047","F","MA","HL","F00478","2AR","50Z","1DK6","1NLH"
"67394190","F","MA","GO","F05981","3FI","7Z6","1C54","1J34"
"67394191","F","MA","GO","F05981","3FH","820","1C53","1J33"
"67397023","F","MA","HL","F00478","36K","6P0","1B9X","1F2N"
"67454744","F","MA","HL","F00478","2AP","50Y","14W0","14W0"
"67454745","F","MA","AS","F00455","2AH","50T","14I4","14I4"
"67511177","F","MA","HL","F00478","3MG","891","1CPK","1KXL"
"67553811","F","MA","HL","F00478","3FD","8EO","1DK4","1NLF"
"67639682","F","MA","HL","F00478","2A8","5D0","1ET9","1QW4"
"84170614","F","MA","AS","F00455","1ZE","54Y","14I8","14I8"
"84172467","F","MA","HL","F00478","17R","830","139T","139T"
"84170348","F","SI","KO","F00349","3D6","53E","1BVN","1HM2"
"67211840","F","MU","HL","F00552","17O","52Q","15I3","15I3"
"67396079","F","MU","HL","F00552","3ID","7QO","1CEV","1JX6"
"67396162","F","MU","HL","F00552","17O","52Q","15I3","15I3"
